Tweet_ID,Hastag
1477090842997313539,#Stonebwoy
1477090842997313539,#Ghanaian
1477090842997313539,#Rema
1477090842997313539,#Rona
1477090842997313539,#Wizkid
1477090842997313539,#Burna
1477090842997313539,#Ronaldo
1477093031853510657,#Rona
1477093031853510657,#STL
1477093031853510657,#Syphillis
1477082164919521283,#Vaccination
1477082212008968193,#antivax
1477083047275253762,#Covid
1477083222009860103,#a
1477083272274452480,#Veran
1477084214054952961,#antivax
1477084325787185158,#Jan6th
1477084325787185158,#AntiVax
1477084325787185158,#VoteBlueForDemocracy
1477084325787185158,#VoteRedForAutocracy
1477084379855736835,#antivax
1477084735683932162,#COVID19
1477085073107267585,#antivax
1477087022397689857,#antivax
1477087133521391618,#Provax
1477087133521391618,#antivax
1477087133521391618,#PasseVaccinal
1477087133521391618,#bonneannee2022
1477087133521391618,#laRépubliqueenmarche
1477087133521391618,#MacronDegage
1477087133521391618,#verandégage
1477087133521391618,#attaldegage
1477087172524064771,#antivax
1477088762928648199,#MyPersonOfTheYear
1477089486735654915,#Vaccination
1477089669498216451,#MyPersonOfTheYear
1477089684308336653,#antivax
1477089684308336653,#complotistes
1477089684308336653,#extrémistes
1477090059316834304,#MyPersonOfTheYear
1477090263512272905,#MacronDegage
1477090511307616258,#MyPersonOfTheYear
1477091726917611528,#RepublicansContinueToLie
1477092461252075523,#antivax
1477096066264801282,#antivax
1477096066264801282,#NouvelAn2022
1477096433647906817,#antivax
1477096447736627200,#MyPersonOfTheYear
1477096613080412165,#LaisserLesMédecinsSoigner
1477096651903090693,#SmartNews
1477082141452349447,#londonfireworks
1477082142094016514,#StaySafe
1477082142094016514,#SocialDistancing
1477082142094016514,#KitaJagaKita
1477082142094016514,#newyear2022
1477082142094016514,#newyearseve
1477082142094016514,#musicstreamingplatforms
1477082142094016514,#trending
1477082142094016514,#viral
1477082142094016514,#syoknya
1477082142094016514,#onestopmusic
1477082142094016514,#malaysia
1477082142094016514,#indonesia
1477082142102466561,#COVID19
1477082142123323393,#wattpad
1477082142123323393,#wip
1477082142123323393,#amwriting
1477082142123323393,#zombies
1477082142123323393,#apocalypse
1477082142123323393,#pandemic
1477082142123323393,#series
1477082142136049671,#MundialDeClubes
1477082142136049671,#Tahití
1477082142136049671,#Internacionales
1477082142836498432,#Omicron
1477082142882598914,#Temuco
1477082143734091781,#COVID19
1477082143734091781,#MeSigoCuidandoUIO
1477082143734091781,#FinDeAñoSinDaños
1477082143863951361,#COVID19
1477082143863951361,#SoyLaDosis
1477082143905832963,#Year2021
1477082143998283776,#Covid19
1477082143998283776,#Ireland
1477082144350613510,#APSeniorNakRoger
1477082144350613510,#NewYear
1477082144350613510,#Tahunbaru
1477082144350613510,#azambaru
1477082144350613510,#january
1477082144350613510,#newyearseve
1477082144820264960,#happynewyear2022
1477082144820264960,#tahunbaru
1477082144820264960,#arfadia
1477082144820264960,#digitalmarketingagency
1477082144820264960,#digitalmarketing
1477082145139032070,#RoyalYearinReview2021
1477082145504088065,#COVID19
1477082145504088065,#SanaDistancia
1477082145504088065,#CDMXSinBajarLaGuardia
1477082145504088065,#ProtégeteyProtegeALosDemás
1477082148406452236,#Michoacán
1477082148460969984,#COVID19
1477082148767252486,#Concord
1477082148767252486,#California
1477082148943413251,#apdq
1477082148943413251,#caq
1477082148943413251,#AssNat
1477082148943413251,#plq
1477082148943413251,#COVID19
1477082148943413251,#confinement
1477082148943413251,#Deconfinement
1477082148943413251,#Legault
1477082148943413251,#Arruda
1477082148943413251,#Masque
1477082148943413251,#Vaccination
1477082148943413251,#PasseportSanitaire
1477082148943413251,#PassDeLaHonte
1477082148943413251,#polqc
1477082148943413251,#polmtl
1477082148943413251,#polcan
1477082149194919936,#VozdeAmérica
1477082149341712385,#BBL11
1477082149488529410,#Kindness
1477082149488529410,#JoyTrain
1477082149488529410,#Joy
1477082149488529410,#Love
1477082149488529410,#MentalHealth
1477082149488529410,#Mindfulness
1477082149488529410,#GoldenHearts
1477082149488529410,#IAM
1477082149488529410,#ChooseLove
1477082149488529410,#Quote
1477082149488529410,#COVID19
1477082149488529410,#IAMChoosingLove
