Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1477085786352889866,tropitropi35,1,13,MISC,0.9369
1477092546270617602,dr_paulinovigil,4,19,PER,0.9971
1477092546270617602,panamá,25,31,LOC,1.0
1477096251648880643,dr_paulinovigil,4,19,PER,0.9971
1477096251648880643,panamá,25,31,LOC,1.0
1477082142102409221,broadway,26,34,ORG,0.9996
1477082142102409221,covid,50,55,PER,0.8463
1477082142102409221,broadway,57,65,ORG,0.9963
1477082142102466561,covid19,193,200,MISC,0.9999
1477082142102466561,🇵🇪,212,214,LOC,0.9999
1477082142136049671,tahití,13,19,LOC,0.9999
1477082142136049671,mundial de clubes,29,46,MISC,0.9999
1477082142136049671,covid,60,65,MISC,0.9991
1477082142136049671,mundialdeclubes tahití internacionales,112,150,MISC,0.921
1477082142882598914,covid-19,19,27,MISC,0.9998
1477082142882598914,temuco,49,55,LOC,1.0
1477082143071162368,covid,38,43,MISC,0.9994
1477082143138406403,protección civil,97,113,ORG,1.0
1477082143138406403,ongs,132,136,ORG,0.9999
1477082143188729866,adalberto peñaranda,14,33,PER,1.0
1477082143188729866,covid-19,51,59,MISC,0.9999
1477082143620698115,jada pinkett smith,0,18,PER,0.9995
1477082143734091781,covid19,139,146,MISC,0.9997
1477082143734091781,mesigocuidandouio,166,183,MISC,0.9964
1477082143734091781,findeañosindaños,184,200,MISC,0.8205
1477082143863951361,covid19,61,68,MISC,0.9999
1477082143863951361,soyladosis,118,128,MISC,0.9999
1477082144627380227,covid,25,30,MISC,0.9998
1477082144627380227,michoacán,34,43,LOC,1.0
1477082145504088065,covid19,38,45,MISC,0.9999
1477082145504088065,sanadistancia,101,114,MISC,0.983
1477082145504088065,cdmxsinbajarlaguardia,120,141,MISC,0.7866
1477082145504088065,locatel,176,183,ORG,0.9984
1477082145516568578,bestiario123,4,16,MISC,0.9815
1477082145516568578,covid,95,100,MISC,0.9996
1477082146200248324,covid,0,5,PER,0.9999
1477082148406452236,mimorelia,4,13,ORG,0.7613
1477082148406452236,covid-19,86,94,MISC,0.9998
1477082148406452236,michoacán,98,107,LOC,1.0
1477082148460969984,drchavezdiaz,4,16,PER,0.9995
1477082148460969984,covid19,35,42,MISC,0.9998
1477082148460969984,pcr,82,85,MISC,0.9867
1477082149194919936,covid-19,45,53,MISC,0.9999
1477082149194919936,asalto al capitolio,63,82,MISC,0.9998
1477082149194919936,vozdeamérica,130,142,ORG,0.9937
1477082149492695043,celebrarconsalud covid19,38,62,MISC,0.9895
1477082149517869056,plan nacional,66,79,MISC,0.9999
1477082149517869056,covid19,102,109,MISC,0.9998
1477082149517869056,añovictoriosoydepaz,156,175,MISC,0.9997
1477082149912301568,mauro,0,5,PER,0.9992
1477082149912301568,italia,21,27,LOC,1.0
1477082149912301568,mundo,173,178,MISC,0.9653
1477082149979369483,nochevieja,19,29,MISC,0.7747
1477082149979369483,tv usa,36,42,ORG,0.9998
1477082149979369483,campanadas2022 nochevieja,92,117,MISC,0.9949
1477082150012866567,maría antonieta de las nieves,50,79,PER,0.9999
1477082150012866567,“la chilindrina”,100,116,PER,0.9875
1477082150012866567,covid19,157,164,MISC,0.9999
1477082152403705856,covid-19,17,25,MISC,0.9994
1477082152403705856,juntoslologramos,158,174,MISC,0.9921
1477082152474865669,silvia pinal,22,34,PER,0.9999
1477082152474865669,covid19,69,76,MISC,0.9997
1477082153020276738,rikkuandyuna23,4,18,PER,0.9865
1477082153041248257,covid19,24,31,MISC,0.9999
1477082153041248257,felizañonuevo,65,78,MISC,0.9548
1477082153041248257,pilotzinoticias,89,104,MISC,0.5696
1477082153041248257,aunclickdeestarinformado,105,129,MISC,0.81
1477082153691213830,covid,55,60,MISC,0.9888
1477082153737506822,celebrarconsalud,8,24,MISC,0.3709
